data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;sensor_time;system state;counter_active;padding;counter
0;0;0;0;13;21;0;47232;3;1;0;1950
1;0;0;0;15;15;0;47267;3;1;0;1900
2;0;0;0;2;8;0;47270;3;1;0;1900
3;0;0;0;2;0;0;47273;3;1;0;1900
4;0;0;0;-9;-6;0;47277;3;1;0;1900
5;0;0;0;-8;-9;0;47280;3;1;0;1900
6;0;0;0;6;6;0;47283;3;1;0;1900
7;0;0;0;0;3;0;47286;3;1;0;1900
8;0;0;0;2;10;0;47289;3;1;0;1900
9;0;0;0;-1;5;0;47293;3;1;0;1900
10;0;0;0;2;17;0;47296;3;1;0;1900
11;0;0;0;10;0;0;47299;3;1;0;1900
12;0;0;0;-4;8;0;47302;3;1;0;1850
13;0;0;0;0;-5;0;47305;3;1;0;1850
14;0;0;0;2;-6;0;47309;3;1;0;1850
15;0;0;0;7;5;0;47312;3;1;0;1850
16;0;0;0;6;6;0;47315;3;1;0;1850
17;0;0;0;2;3;0;47318;3;1;0;1850
18;0;0;0;4;4;0;47321;3;1;0;1850
19;0;0;0;2;4;0;47325;3;1;0;1850
20;0;0;0;8;0;0;47328;3;1;0;1850
21;0;0;0;-1;-5;0;47331;3;1;0;1850
22;0;0;0;-4;2;0;47334;3;1;0;1850
23;0;0;0;5;7;0;47337;3;1;0;1850
24;0;0;0;6;7;0;47341;3;1;0;1850
25;0;0;0;0;8;0;47344;3;1;0;1850
26;0;0;0;4;13;0;47347;3;1;0;1850
27;0;0;0;-2;0;0;47350;3;1;0;1850
28;0;0;0;4;0;0;47353;3;1;0;1800
29;0;0;0;-2;6;0;47358;3;1;0;1800
30;0;0;0;5;4;0;47360;3;1;0;1800
31;0;0;0;0;1;0;47363;3;1;0;1800
32;0;0;0;-7;3;0;47366;3;1;0;1800
33;0;0;0;2;-7;0;47369;3;1;0;1800
34;0;0;0;-6;2;0;47373;3;1;0;1800
35;0;0;0;4;5;0;47376;3;1;0;1800
36;0;0;0;3;9;0;47379;3;1;0;1800
37;0;0;0;1;5;0;47382;3;1;0;1800
38;0;0;0;2;-3;0;47386;3;1;0;1800
39;0;0;0;6;-2;0;47389;3;1;0;1800
40;0;0;0;1;-6;0;47392;3;1;0;1800
41;0;0;0;-1;14;0;47395;3;1;0;1800
42;0;0;0;-6;5;0;47398;3;1;0;1800
43;0;0;0;-2;3;0;47402;3;1;0;1800
44;0;0;0;4;1;0;47405;3;1;0;1750
45;0;0;0;2;10;0;47408;3;1;0;1750
46;0;0;0;4;-7;0;47411;3;1;0;1750
47;0;0;0;2;-10;0;47414;3;1;0;1750
48;0;0;0;2;6;0;47418;3;1;0;1750
49;0;0;0;2;0;0;47421;3;1;0;1750
50;0;0;0;-2;0;0;47424;3;1;0;1750
51;0;0;0;3;-8;0;47427;3;1;0;1750
52;0;0;0;-3;6;0;47430;3;1;0;1750
53;0;0;0;1;9;0;47434;3;1;0;1750
54;0;0;0;6;-5;0;47437;3;1;0;1750
55;0;0;0;3;10;0;47440;3;1;0;1750
56;0;0;0;7;1;0;47443;3;1;0;1750
57;0;0;0;0;-2;0;47446;3;1;0;1750
58;0;0;0;3;8;0;47450;3;1;0;1750
59;0;0;0;-2;-6;0;47453;3;1;0;1700
60;0;0;0;-2;8;0;47456;3;1;0;1700
61;0;0;0;0;7;0;47459;3;1;0;1700
62;0;0;0;2;-4;0;47463;3;1;0;1700
63;0;0;0;3;-5;0;47466;3;1;0;1700
64;0;0;0;6;-8;0;47469;3;1;0;1700
65;0;0;0;2;8;0;47472;3;1;0;1700
66;0;0;0;0;0;0;47475;3;1;0;1700
67;0;0;0;4;9;0;47478;3;1;0;1700
68;0;0;0;-6;-7;0;47482;3;1;0;1700
69;0;0;0;11;13;0;47485;3;1;0;1700
70;0;0;0;-3;-6;0;47488;3;1;0;1700
71;0;0;0;3;-4;0;47491;3;1;0;1700
72;0;0;0;-5;2;0;47494;3;1;0;1700
73;0;0;0;-5;2;0;47498;3;1;0;1700
74;0;0;0;-4;-5;0;47501;3;1;0;1700
75;0;0;0;0;4;0;47504;3;1;0;1650
76;0;0;0;4;7;0;47508;3;1;0;1650
77;0;0;0;2;4;0;47511;3;1;0;1650
78;0;0;0;2;-12;0;47514;3;1;0;1650
79;0;0;0;5;6;0;47517;3;1;0;1650
80;0;0;0;2;6;0;47520;3;1;0;1650
81;0;0;0;-4;8;0;47523;3;1;0;1650
82;0;0;0;-1;0;0;47526;3;1;0;1650
