data_id;temp_1;temp_2;temp_3;pres_1;pres_2;motor_pos;system_status;sensor_time;reserved;reserved
0;0;0;0;41;112;-1;3;699926;0;0
1;0;0;0;43;110;-1;3;699978;0;0
2;0;0;0;47;107;-1;3;699980;0;0
3;0;0;0;43;112;-1;3;699982;0;0
4;0;0;0;35;116;-1;3;699984;0;0
5;0;0;0;39;109;-1;3;699986;0;0
6;0;0;0;42;127;-1;3;699988;0;0
7;0;0;0;37;134;-1;3;699990;0;0
8;0;0;0;33;102;-1;3;699992;0;0
9;0;0;0;55;101;-1;3;699994;0;0
10;0;0;0;36;117;-1;3;699996;0;0
11;0;0;0;34;98;-1;3;699998;0;0
12;0;0;0;30;115;-1;3;700000;0;0
13;0;0;0;35;121;-1;3;700002;0;0
14;0;0;0;41;103;-1;3;700004;0;0
15;0;0;0;36;108;-1;3;700006;0;0
16;0;0;0;39;101;-1;3;700008;0;0
17;0;0;0;39;105;-1;3;700010;0;0
18;0;0;0;50;115;-1;3;700012;0;0
19;0;0;0;46;108;-1;3;700014;0;0
20;0;0;0;32;98;-1;3;700016;0;0
21;0;0;0;44;108;-1;3;700018;0;0
22;0;0;0;40;109;-1;3;700020;0;0
23;0;0;0;44;109;-1;3;700022;0;0
24;0;0;0;45;102;-1;3;700024;0;0
25;0;0;0;32;114;-1;3;700026;0;0
26;0;0;0;35;113;-1;3;700028;0;0
27;0;0;0;34;113;-1;3;700030;0;0
28;0;0;0;32;110;-1;3;700032;0;0
29;0;0;0;29;108;-1;3;700034;0;0
30;0;0;0;30;105;-1;3;700036;0;0
31;0;0;0;41;104;-1;3;700038;0;0
32;0;0;0;47;120;-1;3;700040;0;0
33;0;0;0;40;114;-1;3;700042;0;0
34;0;0;0;61;96;-1;3;700044;0;0
35;0;0;0;48;105;-1;3;700046;0;0
36;0;0;0;41;117;-1;3;700048;0;0
37;0;0;0;40;115;-1;3;700050;0;0
38;0;0;0;40;102;-1;3;700052;0;0
39;0;0;0;39;115;-1;3;700054;0;0
40;0;0;0;37;113;-1;3;700056;0;0
41;0;0;0;48;117;-1;3;700058;0;0
42;0;0;0;50;107;-1;3;700060;0;0
43;0;0;0;36;120;-1;3;700062;0;0
44;0;0;0;36;99;-1;3;700064;0;0
45;0;0;0;45;105;-1;3;700066;0;0
46;0;0;0;40;117;-1;3;700068;0;0
47;0;0;0;34;104;-1;3;700070;0;0
48;0;0;0;55;103;-1;3;700072;0;0
49;0;0;0;33;102;-1;3;700074;0;0
50;0;0;0;38;120;-1;3;700076;0;0
51;0;0;0;41;120;-1;3;700078;0;0
52;0;0;0;35;105;-1;3;700080;0;0
53;0;0;0;36;116;-1;3;700082;0;0
54;0;0;0;41;108;-1;3;700084;0;0
