sample_id;temp_1;temp_2;temp_3;press_1;press_2;motor_pos;system_status;reserved_0;reserved_1;reserved_2;reserved_3;sensor_time;motor_time
0;168;-32768;-32768;3061;2468;0;0;0;0;0;0;34339;34339
1;167;-32768;-32768;3060;2469;0;0;0;0;0;0;34359;34339
2;161;-32768;-32768;3059;2467;0;0;0;0;0;0;34379;34339
3;175;-32768;-32768;3061;2472;0;0;0;0;0;0;34399;34386
4;172;-32768;-32768;3061;2472;0;0;0;0;0;0;34419;34386
5;171;-32768;-32768;3061;2471;0;0;0;0;0;0;34439;34432
6;175;-32768;-32768;3060;2472;0;0;0;0;0;0;34459;34432
7;169;-32768;-32768;3060;2472;0;0;0;0;0;0;34479;34432
8;182;-32768;-32768;3062;2474;0;0;0;0;0;0;34499;34483
9;172;-32768;-32768;3062;2471;0;0;0;0;0;0;34519;34483
10;167;-32768;-32768;3060;2465;0;0;0;0;0;0;34539;34535
11;161;-32768;-32768;3061;2470;0;0;0;0;0;0;34559;34535
12;160;-32768;-32768;3060;2468;0;0;0;0;0;0;34579;34535
13;174;-32768;-32768;3060;2469;0;0;0;0;0;0;34599;34583
14;170;-32768;-32768;3060;2471;0;0;0;0;0;0;34619;34583
15;166;-32768;-32768;3061;2471;0;0;0;0;0;0;34639;34632
16;171;-32768;-32768;3062;2472;0;0;0;0;0;0;34659;34632
17;169;-32768;-32768;3060;2469;0;0;0;0;0;0;34679;34632
18;172;-32768;-32768;3061;2471;0;0;0;0;0;0;34699;34683
19;170;-32768;-32768;3060;2472;0;0;0;0;0;0;34719;34683
20;173;-32768;-32768;3061;2471;0;0;0;0;0;0;34739;34735
21;161;-32768;-32768;3061;2469;0;0;0;0;0;0;34759;34735
22;172;-32768;-32768;3061;2472;0;0;0;0;0;0;34779;34735
23;176;-32768;-32768;3062;2472;0;0;0;0;0;0;34799;34784
24;166;-32768;-32768;3060;2472;0;0;0;0;0;0;34819;34784
25;167;-32768;-32768;3060;2467;0;0;0;0;0;0;34839;34832
26;171;-32768;-32768;3060;2472;0;0;0;0;0;0;34859;34832
27;170;-32768;-32768;3062;2470;0;0;0;0;0;0;34879;34832
28;181;-32768;-32768;3062;2473;0;0;0;0;0;0;34899;34883
29;177;-32768;-32768;3061;2474;0;0;0;0;0;0;34919;34883
30;165;-32768;-32768;3059;2465;0;0;0;0;0;0;34939;34932
31;168;-32768;-32768;3061;2471;0;0;0;0;0;0;34959;34932
32;168;-32768;-32768;3059;2468;0;0;0;0;0;0;34979;34932
33;168;-32768;-32768;3059;2469;0;0;0;0;0;0;34999;34988
34;169;-32768;-32768;3061;2471;0;0;0;0;0;0;35019;34988
35;164;-32768;-32768;3059;2470;0;0;0;0;0;0;35039;35032
36;177;-32768;-32768;3061;2472;0;0;0;0;0;0;35059;35032
37;161;-32768;-32768;3061;2467;0;0;0;0;0;0;35079;35032
38;168;-32768;-32768;3061;2469;0;0;0;0;0;0;35099;35083
39;172;-32768;-32768;3060;2471;0;0;0;0;0;0;35119;35083
40;170;-32768;-32768;3061;2466;0;0;0;0;0;0;35139;35137
41;168;-32768;-32768;3062;2471;0;0;0;0;0;0;35159;35137
42;169;-32768;-32768;3060;2472;0;0;0;0;0;0;35179;35137
43;162;-32768;-32768;3060;2468;0;0;0;0;0;0;35199;35183
44;167;-32768;-32768;3061;2470;0;0;0;0;0;0;35219;35183
45;166;-32768;-32768;3060;2466;0;0;0;0;0;0;35239;35231
46;169;-32768;-32768;3061;2472;0;0;0;0;0;0;35259;35231
47;162;-32768;-32768;3061;2470;0;0;0;0;0;0;35279;35231
48;171;-32768;-32768;3060;2469;0;0;0;0;0;0;35299;35284
49;172;-32768;-32768;3061;2473;0;0;0;0;0;0;35319;35284
50;171;-32768;-32768;3060;2471;0;0;0;0;0;0;35339;35337
51;165;-32768;-32768;3059;2470;0;0;0;0;0;0;35359;35337
52;175;-32768;-32768;3062;2473;0;0;0;0;0;0;35379;35337
53;169;-32768;-32768;3061;2470;0;0;0;0;0;0;35399;35385
54;164;-32768;-32768;3060;2467;0;0;0;0;0;0;35419;35385
55;165;-32768;-32768;3061;2472;0;0;0;0;0;0;35439;35432
56;177;-32768;-32768;3061;2474;0;0;0;0;0;0;35459;35432
57;169;-32768;-32768;3062;2471;0;0;0;0;0;0;35479;35432
58;173;-32768;-32768;3061;2471;0;0;0;0;0;0;35499;35483
59;164;-32768;-32768;3061;2465;0;0;0;0;0;0;35519;35483
60;172;-32768;-32768;3061;2471;0;0;0;0;0;0;35539;35535
61;166;-32768;-32768;3061;2471;0;0;0;0;0;0;35559;35535
62;177;-32768;-32768;3061;2466;0;0;0;0;0;0;35579;35535
63;168;-32768;-32768;3060;2469;0;0;0;0;0;0;35599;35585
